"Story","Title","Result","Date","Stability","Duration (s)"
"Crear token para acceso","Crear token para dar autorizacion en las diferentes peticiones API","SUCCESS","2023-05-03T12:26:19.095198943-05:00[America/Bogota]","0.0","2.05"
"Obtener líneas de crédito de la API","Obtener líneas de crédito de la API correctamente","FAILURE","2023-05-03T12:29:10.638977514-05:00[America/Bogota]","0.0","2.61"
"Obtener ubicaciones","Obtener ubicaciones válidas","SUCCESS","2023-05-03T13:05:14.818207543-05:00[America/Bogota]","0.0","11.07"
