"Story","Title","Result","Date","Stability","Duration (s)"
"Eliminar empleado por id","Escoger un id de empleado y proceder a eliminarlo","FAILURE","2023-05-12T00:13:52.827227552-05:00[America/Bogota]","0.0","0.6"
"Mostrar empleados generados de la api","Mostrar empleados de la api","ERROR","2023-05-12T00:13:53.229963168-05:00[America/Bogota]","0.0","0.79"
